SNAC ID	ARK ID	TriCo ID	ImgSrc	ImgAttr	Mntns	HuntMntns	EvansMntns
85690365	w68q6r38				14	14	
58082478	w6md3mdh				13	13	
74054099	w65d92g1	http://archives.tricolib.brynmawr.edu/agents/people/8927			10	10	
72779524	w6gb275h				10	10	
85620384	w6zd8tgw				6	6	
3507407	w6cr7t0d	http://archives.tricolib.brynmawr.edu/agents/people/2884			13	13	
33984863	w6d01xtv	http://archives.tricolib.brynmawr.edu/agents/people/11147			13	13	
59840986	w6xm0dbv	http://archives.tricolib.brynmawr.edu/agents/people/9536			20	20	
74109159	w6dw29hq				13	13	
85627600	w6w77bbk				11	11	
85619741	w6hf8m7k				26	26	
52194817	w67h3crq				11	11	
85618917	w6tv5gh9				12	12	
85612440	w6f29q6b				11	11	
85676076	w6z71dmb				3	3	
48220448	w6mw2sk8	http://archives.tricolib.brynmawr.edu/agents/people/9073			11	11	
25243048	w68w3qrz	http://archives.tricolib.brynmawr.edu/agents/people/8908	https://digitalcollections.tricolib.brynmawr.edu/islandora/object/sc%3A261683/datastream/TN		10	10	
16084717	w6z65997	http://archives.tricolib.brynmawr.edu/agents/people/3402			10	10	
85677206	w69h6cd0				11	11	
76463121	w6sq9jjd				10	10	
85683849	w6s57hk5				11	11	
69112313	w68d3sbk	http://archives.tricolib.brynmawr.edu/agents/people/2913			23	23	
39281734	w6s505g1				10	10	
85527109	w6j20tpc				10	9	1
13632608	w6gb2s37	http://archives.tricolib.brynmawr.edu/agents/people/9613			14	14	
74207550	w6br9gtg	http://archives.tricolib.brynmawr.edu/agents/people/12532			7	7	
85617754	w6vv2hqk				26	23	3
144438	w6qr572m	http://archives.tricolib.brynmawr.edu/agents/people/8819			10	10	
39965134	w6kp9nc6				8	8	
85531241	w6d902xk				7	7	
60917789	w60g68ww				13	13	
51652987	w6n05cnp	http://archives.tricolib.brynmawr.edu/agents/people/9177			36	36	
85539565	w66f6jgb				13	13	
45956082	w65147nn	http://archives.tricolib.brynmawr.edu/agents/people/8821			8	8	
5796280	w64n1mqv				23	23	
47376325	w67d3g1h				8	8	
85545503	w6vv2hnp				10	9	1
85717637	w6bm240j	http://archives.tricolib.brynmawr.edu/agents/people/6671			9	9	
9796282	w6x93chq				8	7	1
74064189	w6891hbg	http://archives.tricolib.brynmawr.edu/agents/people/8818			9	9	
85681488	w6hv3dwv				3	3	
85710873	w66b7v5c				32	32	
87741030	w6xf1tg8				1	1	
13797784	w6f1984q	http://archives.tricolib.brynmawr.edu/agents/people/8822			7	6	1
68531606	w6k6603s	http://archives.tricolib.brynmawr.edu/agents/people/9180			8	8	
31401628	w6k08k1m	http://archives.tricolib.brynmawr.edu/agents/people/9184			4	4	
85556964	w6vf7pzj				32	32	
85669126	w60h49sj				53	53	
85666845	w6vz1749				29	29	
85619551	w68x44wf				54	54	
85624623	w64v7902				23	23	
85667510	w638818j				1	1	
85624681	w6136j8n				38	38	
85494194	w61s7fx6	http://archives.tricolib.brynmawr.edu/agents/people/11405			3	3	
85770479	w6qw4c8z				26	26	
85769254	w63g5f9w	http://archives.tricolib.brynmawr.edu/agents/people/5407			8	8	
87740810	w6pw7c6w				2	2	
9122333	w69g68m3	https://archives.tricolib.brynmawr.edu/agents/__31324004			5		5
12926564	w6nc78ss				6		6
87559714	w6xb33p0				8		8
87570278	w6f58fm2				6		6
87570251	w63k45dk				5		5
87881452	w6zq5030				5		5
60939259	w67m1bxt	https://archives.tricolib.brynmawr.edu/agents/people/6640			5		5
17888072	w6c61k15				2		2
87583008	w6hv3fq1				5	1	4
87691348	w6mm75p9				4		4
76192634	w63x9hgz	https://archives.tricolib.brynmawr.edu/agents/people/7229			7	4	3
87607240	w6xf1t3b				4		4
87580073	w65r5njw	https://archives.tricolib.brynmawr.edu/agents/people/12531			4		4
87730100	w64k16zb				4		4
87600125	w6b38mqv				4		4
87579010	w66n408b				5	1	4
34080656	w6th9w2h				10	7	3
87636497	w6k46mc4				7	5	2
87636780	w69m53wm				8	7	1
87638150	w6g26smq				8	7	1
40358835	w69c91bq				5	5	
41387281	w68063j0	https://archives.tricolib.brynmawr.edu/agents/people/9067			4	1	3
